2025-01-11 07:18:45,019 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 45, 19104), 'source': '34.139.124.58', 'destination': '192.168.1.169', 'protocol': 'TCP', 'size': 101, 'time_relative': 3.245298, 'src_port': 443, 'dst_port': 57667, 'tcp_flags': <Flag 24 (PA)>}
2025-01-11 07:18:45,020 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 45, 19977), 'source': '192.168.1.169', 'destination': '34.139.124.58', 'protocol': 'TCP', 'size': 66, 'time_relative': 3.246123, 'src_port': 57667, 'dst_port': 443, 'tcp_flags': <Flag 16 (A)>}
2025-01-11 07:18:45,024 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 45, 24534), 'source': '34.139.124.58', 'destination': '192.168.1.169', 'protocol': 'TCP', 'size': 499, 'time_relative': 3.250721, 'src_port': 443, 'dst_port': 57667, 'tcp_flags': <Flag 24 (PA)>}
2025-01-11 07:18:45,026 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 45, 25873), 'source': '192.168.1.169', 'destination': '34.139.124.58', 'protocol': 'TCP', 'size': 66, 'time_relative': 3.252045, 'src_port': 57667, 'dst_port': 443, 'tcp_flags': <Flag 16 (A)>}
2025-01-11 07:18:45,027 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 45, 27237), 'source': '34.139.124.58', 'destination': '192.168.1.169', 'protocol': 'TCP', 'size': 97, 'time_relative': 3.253419, 'src_port': 443, 'dst_port': 57667, 'tcp_flags': <Flag 24 (PA)>}
2025-01-11 07:18:45,029 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 45, 28921), 'source': '192.168.1.169', 'destination': '34.139.124.58', 'protocol': 'TCP', 'size': 66, 'time_relative': 3.255109, 'src_port': 57667, 'dst_port': 443, 'tcp_flags': <Flag 16 (A)>}
2025-01-11 07:18:45,030 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 45, 30026), 'source': '34.139.124.58', 'destination': '192.168.1.169', 'protocol': 'TCP', 'size': 66, 'time_relative': 3.256198, 'src_port': 443, 'dst_port': 57667, 'tcp_flags': <Flag 16 (A)>}
2025-01-11 07:18:45,354 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 45, 354147), 'source': '192.168.1.169', 'destination': '192.168.1.1', 'protocol': 'UDP', 'size': 92, 'time_relative': 3.580369, 'src_port': 49735, 'dst_port': 53}
2025-01-11 07:18:45,357 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 45, 356808), 'source': '192.168.1.169', 'destination': '192.168.1.1', 'protocol': 'UDP', 'size': 92, 'time_relative': 3.582988, 'src_port': 51815, 'dst_port': 53}
2025-01-11 07:18:45,359 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 45, 358743), 'source': '192.168.1.169', 'destination': '20.42.65.84', 'protocol': 'TCP', 'size': 223, 'time_relative': 3.584931, 'src_port': 56939, 'dst_port': 443, 'tcp_flags': <Flag 24 (PA)>}
